scratch_path	bytes	sha256	retention	gallery_destination
renders/italy_ordered_numeric_gradients_narrated_review.mp4	2455731	2514b2a1636b725cca7cf28fb12fe93ae7aba66322ffb8b2cafb230106ad290a	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/review/narrated-prototype.mp4
renders/italy_ordered_numeric_gradients_review_page.html	2341	a4a25633c7cade10de3f5676f63034d3da44eebb6fef9da7d6b34bca271619b6	campaign-evidence-external	-
renders/italy_ordered_numeric_gradients_silent_review_animatic.mp4	1958003	e7f1df7f1699d7ddf8fe53fb9e0e462fc03cef9b026f28142230bfdcacc9e2f6	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/review/silent-animatic.mp4
scripts/analysis.R	887	20c72b2ff4d921b3f9dba657374abd89d78e232b582faf1e75e8b34abc69107a	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/analysis.R
scripts/build_silent_frames.py	11469	ae87a1ac85c41fe33e2e85ad0dc754fa911cf244a52a9fa2c0e5cacf99d51eb4	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/render/render_frames.sh
scripts/normalize_cove_narration.sh	920	55413191f4cef31a2d9c95e0617fe8325b56532f680ebe58f0a555c0ed045b04	campaign-evidence-external	-
scripts/render_narrated_review.sh	1079	aa85933fe0ec037dfe791ddf5352f17ac49864c74cd29447d19ff1d6ce48b414	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/render/render_narrated_review.sh
scripts/render_silent_animatic.sh	2611	2c28f925dbeafc086c200fc1c7a592853ca3e40621d2493f96f51794101d6472	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/render/render_silent_animatic.sh
scripts/run_proof.R	4354	1bc3dcc41e8f05ad16f35a02bc24104be6246ec6f105c4c9e330f304c6847f07	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/proof/run-installed-proof.R
scripts/transcribe_cove_take.py	2381	8dbdcb073a856e4aef2960c97beaf63688657aef49c6384ff61c92e2f8716dd9	campaign-evidence-external	-
source/frames/italy_gradient_01_result.svg	347668	f42b806216f87c09e501068314722abaed6e7480a70a29e0a678fa77102116af	canonical-copy-in-gallery	video-production/episodes/italy_ordered_numeric_gradients/frames/source/italy_gradient_01_result.svg
